Code,Name,Population
AT,Austria,8932664
BE,Belgium,11492641
BG,Bulgaria,6951482
CY,Cyprus,848300
CZ,Czech Republic,10700000
DE,Germany,83155031
DK,Denmark,5840045
EE,Estonia,1300000
ES,Spain,47100000
FI,Finland,5536146
FR,France,67422000
GR,Greece,10718565
HR,Croatia,4058165
HU,Hungary,9769526
IE,Ireland,4900000
IS,Island,361000
IT,Italy,60026546
LI,Liechtenstein,38650
LT,Lithuania,3029118
LU,Luxembourg,626108
LV,Latvia,1900000
MT,Malta,520700
NL,Netherlands,17474693
NO,Norway,5391369
PL,Poland,37798655
PT,Portugal,10295909
RO,Romania,19400000
SE,Sweden,10327589
SI,Slovenia,2081912
SK,Slovakia,5457873